,user_id,birthdate,age_in_years,gender,married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,sign_up_date,days_as_customer,total_sessions,avg_clicks_per_session,proportion_planning_sessions,avg_session_duration_seconds,avg_sessions_per_month,days_since_last_session,days_since_last_booking,avg_booking_lead_time_days,avg_cancellation_lead_time_days,total_trips,trips_with_flight_and_hotel,proportion_trips_with_flight_and_hotel,total_trips_cancelled,trip_cancellation_rate,total_flights,flights_with_return,proportion_flights_with_return,avg_flight_price,stddev_flight_price,avg_flight_discount_pct,avg_flight_discount_savings,total_flight_discount_savings,total_flight_spend,flights_with_discount,proportion_flights_with_discount,avg_seats_booked,stddev_seats,avg_bags_checked,stddev_checked_bags,top_airline,airline_variety,airline_concentration,top_flight_route,flight_route_variety,flight_route_concentration,avg_distance_flown,stddev_distance_flown_km,proportion_longhaul_flights,total_hotels_booked,avg_hotel_price_per_room,stddev_hotel_per_room_usd,hotels_with_discount,proportion_hotels_with_discount,avg_hotel_discount_pct,avg_hotel_discount_savings,total_hotel_discount_savings,total_hotel_spend,avg_trip_length_nights,stddev_stay_in_nights,avg_rooms_booked,stddev_rooms,top_hotel_chain,hotel_chain_variety,hotel_chain_concentration,never_booked_trips,never_cancelled_trips,never_booked_flights,booked_only_one_flight,never_booked_flights_with_discounts,never_booked_hotels,booked_only_one_hotel,never_booked_hotels_with_discounts,total_spend,total_savings,R_score,F_score,M_score,RFM_score,CV,CV_quantile,CLV,is_churned,avg_flight_price_per_seat
76,354260,1974-09-27,48.0,F,False,False,usa,providence,PVD,41.724,-71.428,2022-10-07,294,8,14.5,0.25,107.875,2.0,115.0,167.0,11.5,0.0,2,1,0.5,0,0.0,2,2,1.0,582.505,200.330422177961,0.0,0.0,0.0,1165.01,0,0.0,1.0,0.0,1.0,0.0,JetBlue Airways,2,0.5,PVD-FAT,2,0.5,3329.3287021285178,1146.0744133857547,0.0,1,260.0,0.0,0,0.0,0.0,0.0,0.0,260.0,3.0,0.0,1.0,0.0,Banyan Tree,1,1.0,False,True,False,False,True,False,True,True,1425.01,0.0,1,2,3,1.9499999999999997,1860.4957169056352,5,5128.856876991373,True,582.505
160,416580,1980-08-08,42.0,F,False,False,usa,fort worth,FTW,32.82,-97.362,2022-11-16,254,8,40.0,0.75,928.167843375,1.1428571428571428,9.0,26.0,7.2,3.0,5,3,0.6,1,0.2,4,4,1.0,306.3375,263.95019661229,0.0,0.0,0.0,1225.35,0,0.0,1.25,0.5,0.25,0.5,United Airlines,3,0.5,FTW-ELP,4,0.25,1276.6657337554223,765.3755993251616,0.0,4,170.0,36.51027252705737,2,0.5,0.1,12.9,12.9,497.1,2.25,1.8929694486000912,1.5,0.5773502691896257,Banyan Tree,4,0.25,False,False,False,False,True,False,False,False,1722.45,12.9,5,5,4,4.65,899.5335745248416,2,2479.757904231911,False,245.07
174,423042,1981-07-10,42.0,F,False,True,canada,ottawa,YOW,45.323,-75.669,2022-11-20,250,8,31.375,0.875,333.65255625,1.3333333333333333,53.0,53.0,6.5,4.0,6,3,0.5,1,0.16666666666666666,4,4,1.0,224.36666666666667,157.947699360685,0.0,0.0,0.0,673.1,1,0.25,1.0,0.0,0.5,0.5773502691896257,Porter Airlines,3,0.25,YOW-YTZ,4,0.25,1346.685043893381,867.804799673321,0.0,5,143.25,77.38378383098102,2,0.4,0.05,6.3,6.3,566.7,3.0,1.414213562373095,1.0,0.0,Choice Hotels,5,0.2,False,False,False,False,True,False,False,False,1239.8,6.3,2,5,3,3.0999999999999996,539.5617316883405,1,1487.4180429362843,False,224.36666666666667
243,444387,1978-05-06,45.0,F,True,False,usa,cincinnati,LUK,39.103,-84.419,2022-12-02,238,7,13.714285714285714,0.2857142857142857,101.71428571428571,1.0,23.0,23.0,186.0,0.0,2,1,0.5,0,0.0,2,2,1.0,560.295,491.050304194998,0.0,0.0,0.0,1120.59,0,0.0,1.5,0.7071067811865476,0.5,0.7071067811865476,Air Transat,2,0.5,LUK-LSV,2,0.5,1932.8939702368248,1106.863893727717,0.0,1,86.0,0.0,0,0.0,0.0,0.0,0.0,86.0,1.0,0.0,1.0,0.0,Accor,1,1.0,False,True,False,False,True,False,True,True,1206.59,0.0,4,2,3,3.15,1575.3261570523507,4,4342.725608388026,False,373.53
289,457599,1984-11-13,38.0,F,True,False,usa,columbus,LCK,39.814,-82.928,2022-12-08,232,8,18.75,0.625,140.5,1.3333333333333333,35.0,35.0,6.6,0.0,5,3,0.6,0,0.0,4,3,0.75,220.73,177.484691734245,0.125,9.02775,18.0555,864.8645,2,0.5,1.0,0.0,0.5,0.5773502691896257,Air New Zealand,4,0.25,LCK-BIF,4,0.25,1276.0773712818745,824.9995533958023,0.0,4,249.75,137.793021110166,2,0.5,0.075,15.25,30.5,968.5,3.25,0.9574271077563381,1.0,0.0,Banyan Tree,4,0.25,False,True,False,False,False,False,False,False,1833.3645,48.5555,3,5,4,3.85,957.4576458486162,2,2639.438073797896,False,220.73
309,462456,1983-12-20,39.0,F,False,True,canada,toronto,YKZ,43.862,-79.37,2022-12-11,229,8,17.625,0.625,129.875,1.3333333333333333,38.0,79.0,10.0,0.0,5,3,0.6,0,0.0,5,5,1.0,251.774,176.228584599661,0.15,54.0135,54.0135,1204.8565,1,0.2,1.2,0.4472135954999579,0.2,0.4472135954999579,Air Transat,5,0.2,YKZ-DAL,5,0.2,1336.1394414059043,1137.523709699787,0.0,3,107.66666666666667,23.501772982763097,0,0.0,0.0,0.0,0.0,323.0,1.6666666666666667,1.1547005383792515,1.0,0.0,Accor,3,0.3333333333333333,False,True,False,False,False,False,False,True,1527.8565,54.0135,3,5,4,3.85,797.9089197399134,2,2199.607670705741,False,209.81166666666667
347,469440,1979-10-20,43.0,F,True,True,usa,los angeles,LAX,33.942,-118.408,2022-12-14,226,8,32.5,0.625,753.674809375,1.1428571428571428,26.0,26.0,11.5,4.0,4,2,0.5,1,0.25,3,3,1.0,344.1933333333333,252.902014490461,0.0,0.0,0.0,1032.58,0,0.0,1.0,0.0,0.3333333333333333,0.5773502691896257,Allegiant Air,3,0.3333333333333333,LAX-DAL,3,0.3333333333333333,2005.7870891617704,1449.2071216946845,0.0,3,174.5,10.606601717798213,1,0.3333333333333333,0.0,0.0,0.0,349.0,3.0,2.0,1.3333333333333333,0.5773502691896257,Wyndham,3,0.3333333333333333,False,False,False,False,True,False,False,True,1381.58,0.0,4,4,3,3.65,901.8967139046348,2,2486.2724065493367,False,344.1933333333333
360,471935,1976-03-11,47.0,F,True,False,usa,laredo,LRD,27.544,-99.461,2022-12-16,224,8,22.25,0.25,164.25,1.3333333333333333,32.0,124.0,5.5,0.0,2,1,0.5,0,0.0,1,1,1.0,987.29,0.0,0.0,0.0,0.0,987.29,0,0.0,2.0,0.0,0.0,0.0,Kenmore Air,1,1.0,LRD-BFI,1,1.0,2976.5501735267594,0.0,0.0,2,198.5,30.405591591021544,0,0.0,0.0,0.0,0.0,397.0,3.0,1.414213562373095,1.5,0.7071067811865476,Aman Resorts,2,0.5,False,True,False,True,True,False,False,True,1384.29,0.0,3,2,3,2.75,1807.331608869623,5,4982.298570712056,True,493.645
390,476081,1967-06-14,56.0,F,True,True,usa,el paso,BIF,31.849,-106.38,2022-12-18,222,8,18.375,0.5,138.25,1.1428571428571428,11.0,123.0,10.5,0.0,4,2,0.5,0,0.0,3,3,1.0,247.57333333333332,223.524309490787,0.0,0.0,0.0,742.72,0,0.0,1.0,0.0,0.0,0.0,Delta Air Lines,3,0.3333333333333333,BIF-AUS,3,0.3333333333333333,1326.5207724156598,1211.3248071809828,0.0,3,153.33333333333334,69.5509405639732,0,0.0,0.0,0.0,0.0,460.0,3.0,1.0,1.0,0.0,Accor,3,0.3333333333333333,False,True,False,False,True,False,False,True,1202.72,0.0,5,4,3,4.05,785.1367389129709,2,2164.3984053077043,True,247.57333333333332
445,482602,1979-09-23,43.0,F,False,False,usa,chicago,MDW,41.786,-87.752,2022-12-21,219,8,24.875,0.5,184.875,1.6,65.0,122.0,8.75,0.0,4,2,0.5,0,0.0,4,4,1.0,306.495,286.284479786569,0.0,0.0,0.0,1225.98,0,0.0,1.75,1.5,0.5,0.5773502691896257,Air Canada,4,0.25,MDW-AUS,4,0.25,926.7124233381794,495.74422456991715,0.0,2,122.5,86.97413408594535,0,0.0,0.0,0.0,0.0,245.0,2.5,0.7071067811865476,1.0,0.0,Marriott,2,0.5,False,True,False,False,True,False,False,True,1470.98,0.0,1,4,3,2.4499999999999997,960.2571173724575,2,2647.155419581887,True,175.14000000000001
