,user_id,birthdate,age_in_years,gender,married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,sign_up_date,days_as_customer,total_sessions,avg_clicks_per_session,proportion_planning_sessions,avg_session_duration_seconds,avg_sessions_per_month,days_since_last_session,days_since_last_booking,avg_booking_lead_time_days,avg_cancellation_lead_time_days,total_trips,trips_with_flight_and_hotel,proportion_trips_with_flight_and_hotel,total_trips_cancelled,trip_cancellation_rate,total_flights,flights_with_return,proportion_flights_with_return,avg_flight_price,stddev_flight_price,avg_flight_discount_pct,avg_flight_discount_savings,total_flight_discount_savings,total_flight_spend,flights_with_discount,proportion_flights_with_discount,avg_seats_booked,stddev_seats,avg_bags_checked,stddev_checked_bags,top_airline,airline_variety,airline_concentration,top_flight_route,flight_route_variety,flight_route_concentration,avg_distance_flown,stddev_distance_flown_km,proportion_longhaul_flights,total_hotels_booked,avg_hotel_price_per_room,stddev_hotel_per_room_usd,hotels_with_discount,proportion_hotels_with_discount,avg_hotel_discount_pct,avg_hotel_discount_savings,total_hotel_discount_savings,total_hotel_spend,avg_trip_length_nights,stddev_stay_in_nights,avg_rooms_booked,stddev_rooms,top_hotel_chain,hotel_chain_variety,hotel_chain_concentration,never_booked_trips,never_cancelled_trips,never_booked_flights,booked_only_one_flight,never_booked_flights_with_discounts,never_booked_hotels,booked_only_one_hotel,never_booked_hotels_with_discounts,total_spend,total_savings,R_score,F_score,M_score,RFM_score,CV,CV_quantile,CLV,is_churned,avg_flight_price_per_seat
5,118043,1972-05-04,51.0,F,False,True,usa,los angeles,LAX,33.942,-118.408,2022-03-10,505,8,20.5,0.625,153.125,1.3333333333333333,12.0,12.0,8.6,0.0,5,2,0.4,0,0.0,3,3,1.0,779.7633333333333,372.595257931892,0.0,0.0,0.0,2339.29,0,0.0,2.0,1.0,1.0,0.0,American Airlines,3,0.3333333333333333,LAX-BIF,3,0.3333333333333333,2455.0245088864162,1425.717263051663,0.0,4,227.25,147.101722174374,2,0.5,0.15,16.8,33.6,875.4,6.0,3.162277660168379,1.25,0.5,Fairmont,2,0.75,False,True,False,False,True,False,False,False,3214.69,33.6,5,5,5,5.0,1678.842106702234,4,4628.089603271667,False,389.88166666666666
11,153982,1978-08-15,44.0,F,False,True,canada,toronto,YKZ,43.862,-79.37,2022-04-19,465,8,18.75,0.375,138.5,1.1428571428571428,7.0,7.0,9.333333333333334,0.0,3,3,1.0,0,0.0,3,3,1.0,218.95666666666668,201.206832471796,0.0,0.0,0.0,656.87,0,0.0,1.0,0.0,0.3333333333333333,0.5773502691896257,Spirit Airlines,2,0.6666666666666666,YKZ-BWI,3,0.3333333333333333,1282.5421897455988,1225.0637086043394,0.0,3,207.0,204.075966247866,0,0.0,0.0,0.0,0.0,621.0,2.3333333333333335,0.5773502691896257,1.0,0.0,Banyan Tree,3,0.3333333333333333,False,True,False,False,True,False,False,True,1277.87,0.0,5,3,3,3.8,1112.2596387684782,3,3066.1830852185667,False,218.95666666666668
67,343928,1959-01-26,64.0,F,True,False,usa,el paso,BIF,31.849,-106.38,2022-09-30,301,8,15.25,0.25,112.75,1.1428571428571428,8.0,8.0,171.0,0.0,2,1,0.5,0,0.0,2,2,1.0,2775.31,3300.901733799417,0.2,1021.88,1021.88,4528.74,1,0.5,1.5,0.7071067811865476,0.5,0.7071067811865476,Jetstar Pacific,2,0.5,BIF-SGN,2,0.5,8138.6914788334825,8444.751951766739,0.5,1,116.0,0.0,0,0.0,0.0,0.0,0.0,116.0,4.0,0.0,1.0,0.0,InterContinental,1,1.0,False,True,False,False,False,False,True,True,4644.74,1021.88,5,2,5,4.25,6064.181217072357,5,16717.2207148279,False,1850.2066666666667
76,354260,1974-09-27,48.0,F,False,False,usa,providence,PVD,41.724,-71.428,2022-10-07,294,8,14.5,0.25,107.875,2.0,115.0,167.0,11.5,0.0,2,1,0.5,0,0.0,2,2,1.0,582.505,200.330422177961,0.0,0.0,0.0,1165.01,0,0.0,1.0,0.0,1.0,0.0,JetBlue Airways,2,0.5,PVD-FAT,2,0.5,3329.3287021285178,1146.0744133857547,0.0,1,260.0,0.0,0,0.0,0.0,0.0,0.0,260.0,3.0,0.0,1.0,0.0,Banyan Tree,1,1.0,False,True,False,False,True,False,True,True,1425.01,0.0,1,2,3,1.9499999999999997,1860.4957169056352,5,5128.856876991373,True,582.505
77,354311,1978-07-12,45.0,F,True,False,usa,tucson,DMA,32.166,-110.883,2022-10-08,293,8,12.25,0.25,92.0,2.0,106.0,138.0,7.5,0.0,2,1,0.5,0,0.0,2,2,1.0,536.445,80.19298005436636,0.0,0.0,0.0,1072.89,0,0.0,1.0,0.0,0.5,0.7071067811865476,American Airlines,1,1.0,DMA-JFK,2,0.5,3061.807209296884,512.0373922729934,0.0,1,97.0,0.0,0,0.0,0.0,0.0,0.0,97.0,4.0,0.0,1.0,0.0,Radisson,1,1.0,False,True,False,False,True,False,True,True,1169.89,0.0,1,2,3,1.9499999999999997,1527.410568522841,4,4210.635975763986,True,536.445
82,359080,1982-05-09,41.0,F,True,False,usa,new york,JFK,40.64,-73.779,2022-10-11,290,8,15.75,0.5,119.0,1.1428571428571428,24.0,24.0,77.0,0.0,4,2,0.5,0,0.0,4,4,1.0,1288.39,1674.10805451739,0.0,0.0,0.0,5153.56,0,0.0,1.25,0.5,1.0,0.0,Air Canada,4,0.25,JFK-DXB,4,0.25,4617.660274298968,4466.292386084852,0.25,2,338.5,20.506096654409877,0,0.0,0.0,0.0,0.0,677.0,3.0,1.414213562373095,1.0,0.0,Wyndham,1,1.0,False,True,False,False,True,False,False,True,5830.56,0.0,4,4,5,4.35,3806.195011670557,5,10492.595754665168,False,1030.712
90,373489,1986-12-08,36.0,F,True,True,usa,wichita,ICT,37.65,-97.433,2022-10-21,280,9,13.11111111111111,0.1111111111111111,96.44444444444444,1.8,27.0,27.0,224.0,0.0,1,1,1.0,0,0.0,1,1,1.0,7451.31,0.0,0.25,1862.8275,1862.8275,5588.4825,1,1.0,4.0,0.0,3.0,0.0,Japan Airlines,1,1.0,ICT-ITM,1,1.0,10288.139989253057,0.0,1.0,1,51.0,0.0,0,0.0,0.0,0.0,0.0,51.0,13.0,0.0,2.0,0.0,Aman Resorts,1,1.0,False,True,False,True,False,False,True,True,5639.4825,1862.8275,3,1,5,3.2,14725.837765088363,5,40594.94123240889,False,1862.8275
92,374340,1989-06-26,34.0,F,True,False,usa,new york,LGA,40.777,-73.872,2022-10-22,279,9,8.666666666666666,0.1111111111111111,64.44444444444444,1.5,30.0,30.0,337.0,0.0,1,0,0.0,0,0.0,1,1,1.0,3966.19,0.0,0.0,0.0,0.0,3966.19,0,0.0,2.0,0.0,1.0,0.0,China Eastern Airlines,1,1.0,LGA-DLC,1,1.0,11011.278068932796,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MISSING,0,0.0,False,True,False,True,True,True,False,True,3966.19,0.0,3,1,5,3.2,10356.530140046681,5,28550.00436060717,False,1983.095
101,379543,1968-01-06,55.0,F,True,False,usa,san jose,SJC,37.362,-121.929,2022-10-25,276,8,13.0,0.375,95.625,1.1428571428571428,21.0,49.0,6.666666666666667,0.0,3,3,1.0,0,0.0,3,3,1.0,385.04,249.99655177622,0.0,0.0,0.0,1155.12,0,0.0,1.0,0.0,0.3333333333333333,0.5773502691896257,Delta Air Lines,2,0.6666666666666666,SJC-AUS,3,0.3333333333333333,2268.511555592939,1546.7365945363108,0.0,3,231.66666666666666,85.45369116271885,0,0.0,0.0,0.0,0.0,695.0,2.6666666666666665,2.0816659994661326,1.0,0.0,Choice Hotels,3,0.3333333333333333,False,True,False,False,True,False,False,True,1850.12,0.0,4,3,4,3.75,1610.3467511392685,4,4439.267413449392,False,385.04
109,382181,1987-12-26,35.0,F,True,False,canada,halifax,YHZ,44.881,-63.509,2022-10-27,274,8,13.25,0.375,98.125,1.1428571428571428,23.0,53.0,5.666666666666667,0.0,3,2,0.6666666666666666,0,0.0,3,3,1.0,357.68,277.91620103909,0.0,0.0,0.0,1073.04,0,0.0,1.0,0.0,0.6666666666666666,0.5773502691896257,American Airlines,2,0.6666666666666666,YHZ-YOW,3,0.3333333333333333,1963.1601219501324,1487.0589610674506,0.0,2,208.0,56.568542494923804,0,0.0,0.0,0.0,0.0,416.0,3.0,2.8284271247461903,1.0,0.0,Fairmont,2,0.5,False,True,False,False,True,False,False,True,1489.04,0.0,4,3,3,3.4,1296.0622696454373,3,3572.8745969573233,False,357.68
